AZ_onshore_wind_turbine_1,AZ_solar_photovoltaic_1,CA_onshore_wind_turbine_1,CA_solar_photovoltaic_1,CO_onshore_wind_turbine_1,CO_solar_photovoltaic_1,ID_onshore_wind_turbine_1,ID_solar_photovoltaic_1,MT_onshore_wind_turbine_1,MT_solar_photovoltaic_1,NM_onshore_wind_turbine_1,NM_solar_photovoltaic_1,NV_onshore_wind_turbine_1,NV_solar_photovoltaic_1,OR_onshore_wind_turbine_1,OR_solar_photovoltaic_1,UT_onshore_wind_turbine_1,UT_solar_photovoltaic_1,WA_onshore_wind_turbine_1,WA_solar_photovoltaic_1,WY_onshore_wind_turbine_1,WY_solar_photovoltaic_1,AZ_landbasedwind_class3_moderate_1,AZ_utilitypv_class1_moderate_1,CA_landbasedwind_class3_moderate_1,CA_utilitypv_class1_moderate_1,CA_offshorewind_class3_moderate_fixed_1_1,CA_offshorewind_class12_moderate_floating_0_1,CO_landbasedwind_class3_moderate_1,CO_utilitypv_class1_moderate_1,ID_landbasedwind_class3_moderate_1,ID_utilitypv_class1_moderate_1,MT_landbasedwind_class3_moderate_1,MT_utilitypv_class1_moderate_1,NM_landbasedwind_class3_moderate_1,NM_utilitypv_class1_moderate_1,NV_landbasedwind_class3_moderate_1,NV_utilitypv_class1_moderate_1,OR_landbasedwind_class3_moderate_1,OR_utilitypv_class1_moderate_1,OR_offshorewind_class3_moderate_fixed_1_1,OR_offshorewind_class12_moderate_floating_0_1,UT_landbasedwind_class3_moderate_1,UT_utilitypv_class1_moderate_1,WA_landbasedwind_class3_moderate_1,WA_utilitypv_class1_moderate_1,WA_offshorewind_class3_moderate_fixed_1_1,WA_offshorewind_class12_moderate_floating_0_1,WY_landbasedwind_class3_moderate_1,WY_utilitypv_class1_moderate_1,AZ_Deep_5_5_257_c171,AZ_Deep_6_5_283_c176,AZ_Deep_3_5_200_c161,AZ_Deep_6_5_273_c177,AZ_Deep_5_5_238_c172,AZ_Deep_6_5_263_c178,CA_NearField_2_5_254_c235,CA_NearField_3_5_270_c238,CA_NearField_4_5_283_c241,CA_Deep_4_5_262_c46,CA_Deep_5_5_290_c51,CA_NearField_5_5_289_c244,CA_NearField_3_5_228_c239,CA_NearField_4_5_253_c242,CA_Deep_5_5_278_c52,CA_Deep_4_5_243_c47,CA_Deep_3_5_214_c41,CA_Deep_5_5_269_c53,CA_NearField_2_5_203_c236,CA_NearField_5_5_268_c245,CA_Deep_6_5_298_c56,CA_Deep_5_5_263_c54,CO_Deep_5_5_268_c211,CO_Deep_6_5_290_c216,CO_Deep_3_5_198_c201,CO_Deep_4_5_218_c206,CO_Deep_6_5_277_c217,CO_Deep_5_5_240_c212,ID_Deep_5_5_285_c91,ID_Deep_5_5_269_c92,MT_Deep_4_5_213_c106,MT_Deep_3_5_188_c101,MT_Deep_5_5_236_c111,MT_Deep_6_5_262_c116,MT_Deep_3_5_179_c102,MT_Deep_4_5_191_c107,MT_Deep_6_5_232_c117,NM_Deep_5_5_272_c191,NM_Deep_6_5_294_c196,NM_Deep_6_5_284_c197,NM_Deep_5_5_250_c192,NM_Deep_4_5_219_c186,NM_Deep_6_5_274_c198,NM_Deep_5_5_236_c193,NV_NearField_2_5_239_c248,NV_NearField_3_5_262_c251,NV_NearField_4_5_271_c254,NV_Deep_4_5_249_c66,NV_NearField_5_5_283_c257,NV_Deep_5_5_273_c71,NV_NearField_2_5_200_c249,NV_NearField_3_5_216_c252,NV_Deep_5_5_265_c72,NV_Deep_3_5_211_c61,NV_Deep_6_5_296_c76,NV_Deep_6_5_290_c77,NV_Deep_5_5_254_c73,OR_NearField_2_5_261_c221,OR_NearField_3_5_288_c224,OR_NearField_2_5_225_c222,OR_NearField_4_5_288_c227,OR_NearField_3_5_239_c225,OR_NearField_5_5_300_c230,OR_NearField_2_5_200_c223,OR_Deep_4_5_250_c26,OR_Deep_5_5_282_c31,OR_NearField_5_5_275_c231,OR_NearField_4_5_239_c228,OR_Deep_5_5_268_c32,OR_NearField_6_5_300_c233,OR_Deep_6_5_296_c36,OR_Deep_4_5_229_c27,UT_NearField_2_5_250_c263,UT_NearField_3_5_286_c266,UT_NearField_2_5_225_c264,UT_NearField_4_5_288_c269,UT_NearField_3_5_239_c267,UT_Deep_3_5_230_c141,UT_NearField_5_5_288_c272,UT_Deep_5_5_282_c151,UT_NearField_2_5_200_c265,UT_NearField_4_5_239_c270,UT_Deep_4_5_229_c146,UT_Deep_5_5_256_c152,UT_Deep_6_5_291_c156,WA_Deep_6_5_294_c16,WA_Deep_5_5_256_c11,WA_Deep_6_5_272_c17,WA_Deep_4_5_214_c6,WA_Deep_5_5_231_c12,WY_Deep_4_5_207_c126,WY_Deep_6_5_261_c136,WY_Deep_5_5_225_c131,WY_Deep_3_5_170_c121,WY_Deep_3_5_166_c122,WY_Deep_6_5_228_c137,WY_Deep_3_5_160_c123,WY_Deep_4_5_179_c127,WY_Deep_3_5_153_c124,WY_Deep_6_5_213_c138
0.7437623956799215,0.0,0.6838905635009875,0.0,0.4746128873344131,0.0,0.4756308737322042,0.0,0.3124660240963855,0.0,0.3908396008540676,0.0,0.374,0.0,0.2271788540279836,0.0,0.1030190623390005,0.0,0.1802126195819062,0.0,0.3842437033622933,0.0,0.6425419449806213,0.0,0.0529999993741512,0.0,0.0186294969171285,0.0926471352577209,0.5174294710159302,0.0,0.3573764562606811,0.0,0.38531693816185,0.0,0.6050847172737122,0.0,0.501078724861145,0.0,0.625585675239563,0.0,0.2727330923080444,0.3747247159481048,0.2084908187389373,0.0,0.5377358794212341,0.0,0.5508646965026855,0.501503050327301,0.7387282252311707,0.0,0.84,0.84,0.84,0.84,0.84,0.83,0.88,0.88,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.89,0.88,0.9,0.89,0.88,0.81,0.81,0.82,0.81,0.8,0.81,0.82,0.83,0.89,0.9,0.88,0.87,0.89,0.87,0.88,0.79,0.8,0.8,0.8,0.8,0.8,0.8,0.87,0.87,0.87,0.87,0.87,0.85,0.87,0.87,0.86,0.88,0.84,0.84,0.85,0.87,0.87,0.87,0.87,0.87,0.8700000047683716,0.87,0.88,0.88,0.8700000047683716,0.87,0.88,0.8700000047683716,0.88,0.88,0.7900000214576721,0.79,0.7900000214576721,0.79,0.79,0.8,0.79,0.8,0.7900000214576721,0.79,0.8,0.8,0.8,0.93,0.93,0.92,0.93,0.92,0.83,0.84,0.84,0.8,0.82,0.83,0.85,0.84,0.8,0.8
0.7221981345115367,0.0,0.7061445374474178,0.0,0.5216226116764624,0.0,0.3911804224434726,0.0,0.3946642771084337,0.0,0.3351770011765217,0.0,0.38,0.0,0.2384961943279158,0.0,0.0143557444616177,0.0,0.1906117278847289,0.0,0.3440486011487693,0.0,0.5858659148216248,0.0,0.0070000002160668,0.0,0.0253348797559738,0.0646976977586746,0.7785800695419312,0.0,0.2824279069900512,0.0,0.3803625106811523,0.0,0.5435665845870972,0.0,0.4986479580402374,0.0,0.5796253681182861,0.0,0.3222594261169433,0.4661976099014282,0.1558651179075241,0.0,0.5517406463623047,0.0,0.5849225521087646,0.5920460224151611,0.7227054834365845,0.0,0.83,0.83,0.84,0.82,0.83,0.82,0.85,0.86,0.86,0.87,0.87,0.86,0.86,0.86,0.87,0.86,0.86,0.87,0.86,0.88,0.87,0.87,0.8,0.8,0.81,0.8,0.8,0.8,0.82,0.82,0.88,0.9,0.87,0.87,0.88,0.87,0.87,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.86,0.86,0.86,0.85,0.86,0.83,0.86,0.86,0.84,0.86,0.83,0.83,0.84,0.85,0.85,0.85,0.85,0.85,0.8500000238418579,0.85,0.86,0.86,0.8500000238418579,0.85,0.86,0.8500000238418579,0.87,0.86,0.7799999713897705,0.78,0.7799999713897705,0.78,0.78,0.79,0.78,0.79,0.7799999713897705,0.78,0.79,0.79,0.79,0.92,0.92,0.91,0.92,0.91,0.83,0.84,0.84,0.81,0.83,0.83,0.86,0.84,0.81,0.8
0.6515138929798723,0.0,0.6966914434794996,0.0,0.5584727173851697,0.0,0.3398395831394808,0.0,0.3037421084337349,0.0,0.2293115168416924,0.0,0.215,0.0,0.2976658042151272,0.0,0.1070247295208655,0.0,0.2619798629975198,0.0,0.2499316753866436,0.0,0.5083352327346802,0.0,0.0570000000298023,0.0,0.0401472970843315,0.0481467954814434,0.8427830338478088,0.0,0.2405114471912384,0.0,0.3481966555118561,0.0,0.5100557208061218,0.0,0.5061306357383728,0.0,0.4707013368606567,0.0,0.4179756045341491,0.5785406827926636,0.1356428414583206,0.0,0.6338075995445251,0.0,0.6671187281608582,0.710419774055481,0.7212253212928772,0.0,0.83,0.83,0.84,0.82,0.82,0.82,0.83,0.84,0.84,0.85,0.85,0.84,0.84,0.84,0.85,0.85,0.85,0.86,0.84,0.86,0.86,0.86,0.81,0.81,0.81,0.81,0.8,0.8,0.82,0.82,0.88,0.89,0.87,0.86,0.88,0.86,0.87,0.78,0.79,0.79,0.79,0.79,0.79,0.79,0.85,0.85,0.85,0.84,0.85,0.82,0.85,0.85,0.83,0.85,0.82,0.82,0.83,0.83,0.83,0.83,0.83,0.83,0.8299999833106995,0.83,0.85,0.85,0.8299999833106995,0.83,0.85,0.8299999833106995,0.86,0.85,0.7699999809265137,0.77,0.7699999809265137,0.77,0.77,0.78,0.77,0.79,0.7699999809265137,0.77,0.79,0.79,0.79,0.92,0.92,0.91,0.92,0.91,0.84,0.85,0.84,0.81,0.83,0.83,0.86,0.85,0.81,0.8
0.5332161021109474,0.0,0.6928963621194236,0.0,0.7870941480924378,0.0,0.2599816693030613,0.0,0.2685159638554216,0.0,0.418049239618284,0.0,0.0,0.0,0.2895382953603456,0.0,0.1238835651725914,0.0,0.3295173615212,0.0,0.2198401936625534,0.0,0.4892176687717438,0.0,0.1609999984502792,0.0,0.0628260970115661,0.0477638207376003,0.8894128203392029,0.0,0.1979009509086609,0.0,0.3272387385368347,0.0,0.6148414611816406,0.0,0.4707289040088653,0.0,0.4411653578281402,0.0,0.5599818229675293,0.7035869359970093,0.0991518199443817,0.0,0.6660589575767517,0.0,0.7032902240753174,0.7613472938537598,0.720225989818573,0.0,0.82,0.82,0.84,0.82,0.82,0.82,0.83,0.83,0.84,0.84,0.85,0.83,0.83,0.83,0.85,0.85,0.84,0.86,0.83,0.85,0.85,0.85,0.81,0.81,0.82,0.81,0.81,0.81,0.82,0.82,0.87,0.88,0.86,0.85,0.87,0.85,0.86,0.78,0.79,0.79,0.79,0.78,0.79,0.79,0.84,0.84,0.84,0.83,0.84,0.82,0.84,0.84,0.82,0.84,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0.8199999928474426,0.82,0.84,0.85,0.8199999928474426,0.82,0.84,0.8199999928474426,0.85,0.84,0.7699999809265137,0.77,0.7699999809265137,0.77,0.77,0.78,0.77,0.79,0.7699999809265137,0.77,0.79,0.79,0.79,0.91,0.91,0.9,0.91,0.9,0.84,0.85,0.85,0.82,0.84,0.83,0.87,0.85,0.82,0.8
0.3322362297496318,0.0,0.7547274689459069,0.0,0.7994878385845545,0.0,0.1958156694891597,0.0,0.2571636144578313,0.0,0.6301381759553795,0.0,0.211,0.0,0.3146948679946746,0.0,0.2067120041215868,0.0,0.3625915023030589,0.0,0.1875917668494602,0.0,0.4193733334541321,0.0,0.3289999961853027,0.0,0.1063631027936935,0.0672303140163421,0.8779935836791992,0.0,0.1883808672428131,0.0,0.3103468120098114,0.0,0.6336548328399658,0.0,0.4402041137218475,0.0,0.4806724488735199,0.0,0.6915693879127502,0.809069037437439,0.0644423142075538,0.0,0.6691281795501709,0.0,0.6327319145202637,0.7915938496589661,0.6776366829872131,0.0,0.83,0.83,0.85,0.82,0.83,0.83,0.83,0.83,0.84,0.84,0.86,0.83,0.83,0.83,0.85,0.85,0.84,0.86,0.83,0.85,0.85,0.86,0.82,0.82,0.83,0.82,0.82,0.82,0.82,0.83,0.86,0.88,0.85,0.85,0.86,0.85,0.86,0.79,0.8,0.8,0.79,0.79,0.8,0.8,0.84,0.84,0.84,0.83,0.84,0.81,0.84,0.84,0.82,0.83,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0.8199999928474426,0.82,0.84,0.85,0.8199999928474426,0.82,0.84,0.8199999928474426,0.85,0.84,0.7699999809265137,0.77,0.7699999809265137,0.77,0.77,0.79,0.77,0.79,0.7699999809265137,0.77,0.79,0.79,0.79,0.91,0.91,0.9,0.91,0.9,0.85,0.86,0.86,0.83,0.85,0.83,0.87,0.86,0.83,0.81
0.315713205694649,0.0,0.8253806357681337,0.0,0.7870883998308595,0.0,0.1501916813994603,0.0,0.3272757831325301,0.0,0.6042434528737637,0.0,0.092,0.0,0.3031077394559019,0.0,0.1979935600206079,0.0,0.3901563127435928,0.0,0.1788669254521964,0.0,0.3629499971866607,0.0,0.3030000030994415,0.0,0.2013396471738815,0.1058731004595756,0.843353271484375,0.0,0.1864538192749023,0.0,0.3062179982662201,0.0,0.6644836664199829,0.0,0.4147883951663971,0.0,0.5280101895332336,0.0,0.800557017326355,0.8855946063995361,0.0467823855578899,0.0,0.6577908992767334,0.0,0.6428869962692261,0.9146012663841248,0.6224574446678162,0.0,0.84,0.84,0.86,0.83,0.84,0.84,0.84,0.85,0.85,0.86,0.87,0.85,0.85,0.85,0.86,0.86,0.85,0.87,0.85,0.86,0.86,0.87,0.84,0.84,0.84,0.84,0.84,0.84,0.83,0.84,0.87,0.88,0.86,0.86,0.87,0.86,0.87,0.8,0.81,0.81,0.81,0.81,0.82,0.81,0.84,0.84,0.84,0.83,0.84,0.82,0.84,0.84,0.82,0.83,0.82,0.82,0.82,0.83,0.83,0.83,0.83,0.83,0.8299999833106995,0.83,0.84,0.86,0.8299999833106995,0.83,0.85,0.8299999833106995,0.86,0.85,0.7799999713897705,0.78,0.7799999713897705,0.78,0.78,0.8,0.78,0.8,0.7799999713897705,0.78,0.8,0.8,0.8,0.91,0.91,0.9,0.91,0.9,0.86,0.87,0.87,0.85,0.86,0.85,0.88,0.87,0.85,0.83
0.2960907216494846,0.0,0.8899291784473047,0.0,0.727288338051923,0.0,0.2888295338233925,0.0,0.2761156626506024,0.0,0.6431218789489737,0.0,0.387,0.0,0.2906884624079982,0.0,0.1533111798042246,0.0,0.380336423762844,0.0,0.2733895913610133,0.0,0.3360522389411926,0.0,0.4129999876022339,0.0,0.3200896978378296,0.1649672836065292,0.8088498711585999,0.0,0.2088169753551483,0.0,0.3317033648490906,0.0,0.6677747964859009,0.0,0.4095174670219421,0.0,0.539594292640686,0.0,0.8851547241210938,0.9298571348190308,0.0407248027622699,0.0,0.644957959651947,0.0,0.874457597732544,0.97539222240448,0.5609925985336304,0.0,0.87,0.87,0.88,0.87,0.87,0.87,0.87,0.87,0.88,0.88,0.89,0.87,0.87,0.87,0.88,0.88,0.87,0.89,0.87,0.88,0.88,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.87,0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.89,0.83,0.86,0.86,0.86,0.85,0.87,0.87,0.85,0.85,0.85,0.84,0.85,0.83,0.85,0.85,0.84,0.84,0.83,0.84,0.84,0.85,0.85,0.85,0.85,0.85,0.8500000238418579,0.85,0.86,0.87,0.8500000238418579,0.85,0.87,0.8500000238418579,0.88,0.87,0.8100000023841858,0.81,0.8100000023841858,0.81,0.81,0.84,0.81,0.84,0.8100000023841858,0.81,0.84,0.84,0.84,0.91,0.91,0.9,0.91,0.9,0.91,0.91,0.91,0.9,0.91,0.89,0.92,0.91,0.9,0.88
0.2752043200785469,0.0,0.9243301843556808,0.0,0.6568095134334567,0.0,0.3387709128128779,0.0,0.2191521686746987,0.0,0.526115822040176,0.0,0.664,0.0,0.2733448717626667,0.0,0.1093675940236991,0.0,0.37915321247195,0.0,0.3183345664341117,0.0,0.3398087322711944,0.0,0.5699999928474426,0.0,0.4336332380771637,0.2338185161352157,0.7780488133430481,0.0,0.2361415922641754,0.0,0.3458680808544159,0.0,0.6500341892242432,0.0,0.3836645483970642,0.0,0.5705145597457886,0.0,0.9271102547645568,0.950728476047516,0.032822947949171,0.0,0.699750542640686,0.0,0.9645398855209352,0.9804196357727052,0.5003998875617981,0.0,0.92,0.92,0.93,0.91,0.92,0.92,0.93,0.93,0.92,0.92,0.93,0.93,0.93,0.93,0.92,0.92,0.92,0.93,0.93,0.92,0.93,0.92,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.92,0.89,0.88,0.89,0.89,0.89,0.89,0.91,0.86,0.89,0.89,0.89,0.88,0.9,0.89,0.87,0.87,0.87,0.87,0.87,0.88,0.87,0.87,0.87,0.87,0.88,0.88,0.88,0.9,0.9,0.9,0.9,0.9,0.8999999761581421,0.9,0.9,0.9,0.8999999761581421,0.9,0.9,0.8999999761581421,0.91,0.9,0.8299999833106995,0.83,0.8299999833106995,0.83,0.83,0.86,0.83,0.87,0.8299999833106995,0.83,0.87,0.87,0.87,0.93,0.92,0.92,0.92,0.92,0.93,0.93,0.93,0.93,0.92,0.91,0.94,0.93,0.93,0.91
0.2410657830142366,0.0021885434856156,0.9157389050675572,0.0,0.5441242640789445,0.090992561363235,0.3567370428956917,0.0,0.1840540963855421,0.0156355932203389,0.4980596540154255,0.0524381496545935,0.273,0.0,0.3570639302670251,0.0,0.060850592478104,0.003161773957602,0.3958294555332468,0.0,0.2908443622726633,0.0265,0.2999382019042969,0.0057415226474404,0.8059999942779541,0.0,0.5498166680335999,0.3049025237560272,0.7227231860160828,0.0524014495313167,0.2617431581020355,2.5444373932259623e-6,0.3850439488887787,0.0095379082486033,0.6196694374084473,0.0218479558825492,0.3550398349761963,0.0001410682161804,0.6163909435272217,0.0,0.9560741186141968,0.9635390639305116,0.0314161628484725,0.0032681766897439,0.6849733591079712,0.0,0.9830001592636108,0.9829830527305604,0.447698712348938,0.0527122132480144,0.93,0.93,0.94,0.93,0.93,0.93,0.97,0.96,0.96,0.95,0.95,0.96,0.96,0.96,0.95,0.95,0.95,0.95,0.96,0.95,0.95,0.95,0.92,0.92,0.92,0.92,0.92,0.92,0.93,0.93,0.9,0.9,0.9,0.9,0.9,0.9,0.92,0.89,0.91,0.9,0.9,0.9,0.91,0.91,0.88,0.88,0.88,0.89,0.88,0.89,0.88,0.88,0.89,0.88,0.9,0.89,0.89,0.93,0.93,0.93,0.93,0.93,0.9300000071525574,0.93,0.92,0.92,0.9300000071525574,0.93,0.92,0.9300000071525574,0.93,0.92,0.8500000238418579,0.85,0.8500000238418579,0.85,0.85,0.87,0.85,0.88,0.8500000238418579,0.85,0.89,0.89,0.89,0.94,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.92,0.93,0.92,0.93,0.93,0.92,0.92
0.1971303878252332,0.3385893660348931,0.9050786350130748,0.1647541927040273,0.328392503188591,0.6320332862440405,0.4351253373034335,0.2381499999999999,0.2107478313253012,0.3763022598870056,0.4977789881912066,0.3765621085931951,0.102,0.2419678167417614,0.3688004220151222,0.0396036918982632,0.0847403400309119,0.3175913452860506,0.430033541986536,0.0160897027600849,0.2308119892382702,0.4619999999999999,0.2435313761234283,0.2647301852703094,0.9829999804496764,0.054361704736948,0.6306256055831909,0.3732750713825226,0.5450589656829834,0.292814165353775,0.3678124845027923,0.1270201951265335,0.402885377407074,0.243956059217453,0.6043426990509033,0.2498188912868499,0.3228628933429718,0.1696394681930542,0.6707249879837036,0.038719143718481,0.972788631916046,0.9724014401435852,0.0279036313295364,0.2112529873847961,0.7036036849021912,0.0519096665084362,0.9830001592636108,0.9830036759376526,0.3551434278488159,0.2837914526462555,0.95,0.95,0.95,0.95,0.95,0.95,0.99,0.99,0.98,0.96,0.96,0.99,0.99,0.99,0.96,0.96,0.96,0.96,0.99,0.97,0.96,0.96,0.93,0.92,0.93,0.93,0.92,0.92,0.94,0.94,0.92,0.91,0.91,0.92,0.91,0.91,0.93,0.91,0.92,0.92,0.92,0.92,0.93,0.93,0.89,0.89,0.89,0.9,0.89,0.91,0.89,0.89,0.9,0.9,0.91,0.91,0.9,0.95,0.95,0.95,0.95,0.95,0.949999988079071,0.95,0.93,0.93,0.949999988079071,0.95,0.93,0.949999988079071,0.94,0.93,0.8700000047683716,0.87,0.8700000047683716,0.87,0.87,0.89,0.87,0.89,0.8700000047683716,0.87,0.9,0.9,0.9,0.94,0.94,0.94,0.94,0.94,0.93,0.93,0.93,0.92,0.93,0.93,0.94,0.93,0.92,0.94
